Episode,Reward,Avg_Reward_Last_1,Avg_Reward_Last_100,Avg_Reward_All,Frames_total,Time_Elapsed,Solved,Distance,Memory_Usage
228,33.690426058408946,33.690426058408946,33.448945647006255,33.53,6840,09:09:12,False,1.2252194242764278,15650263040
229,33.61759705521816,33.61759705521816,33.45089302274886,33.53,6870,09:11:38,False,1.2547079160753587,15715352576
230,33.36198562141309,33.36198562141309,33.44163251076427,33.53,6900,09:14:05,False,1.1990094101009818,15672348672
231,32.7584700135404,32.7584700135404,33.43939126247064,33.53,6930,09:16:30,False,1.179098678593912,15640551424
232,32.960592100135194,32.960592100135194,33.43206292519293,33.52,6960,09:18:55,False,1.2066909316355654,15637716992
233,33.2377277534396,33.2377277534396,33.421909556559896,33.52,6990,09:21:20,False,1.2454931047180486,15680843776
234,33.397337361630605,33.397337361630605,33.418491911505114,33.52,7020,09:23:46,False,1.2185017870998822,15655993344
235,33.09497571608714,33.09497571608714,33.41777738362786,33.52,7050,09:26:10,False,1.2250461083643063,15662931968
236,34.119878838560936,34.119878838560936,33.424183942808185,33.52,7080,09:28:36,False,1.2395054512541188,15716749312
237,33.5700751946749,33.5700751946749,33.42687705292034,33.52,7110,09:31:03,False,1.245782301666944,15765958656
238,33.07858588232262,33.07858588232262,33.42341197811909,33.52,7140,09:33:28,False,1.2199951685887234,15734898688
239,33.28460586431287,33.28460586431287,33.42040785257641,33.52,7170,09:35:54,False,1.2095405360921945,15852773376
240,33.76750401588812,33.76750401588812,33.41497967931151,33.52,7200,09:38:20,False,1.229610134426314,15766794240
241,33.17296505652948,33.17296505652948,33.40768735083353,33.52,7230,09:40:45,False,1.1917646333563998,15764066304
242,33.02972802438476,33.02972802438476,33.40947097683204,33.52,7260,09:43:11,False,1.2064449775553254,15765426176
243,33.301155959833075,33.301155959833075,33.411238483877966,33.52,7290,09:45:36,False,1.2265227074648086,15787851776
244,33.74911253486039,33.74911253486039,33.41117531318661,33.52,7320,09:48:01,False,1.2372821576877584,15784140800
245,32.970776193023696,32.970776193023696,33.403933610647194,33.51,7350,09:50:27,False,1.228612803826548,15852376064
246,32.07617734356706,32.07617734356706,33.38287038342812,33.51,7380,09:52:52,False,1.1956820921553686,15784980480
247,33.205840768066125,33.205840768066125,33.37907391982504,33.51,7410,09:55:17,False,1.2107874250382409,15804088320
248,33.80902730088505,33.80902730088505,33.38562901790981,33.51,7440,09:57:42,False,1.2455359581519612,15755362304
249,33.413939429896864,33.413939429896864,33.39444854431143,33.51,7470,10:00:08,False,1.2336814665837095,15795896320
250,33.447899858467004,33.447899858467004,33.398151747255085,33.51,7500,10:02:35,False,1.2426493837467723,15794810880
251,32.94706422363301,32.94706422363301,33.3860319195312,33.51,7530,10:05:00,False,1.2259004011929513,15846313984
252,33.02976791302909,33.02976791302909,33.37282256881823,33.5,7560,10:07:26,False,1.2263444694870675,15731892224
253,33.65153338323994,33.65153338323994,33.373485591075315,33.5,7590,10:09:52,False,1.2391710781754444,15779934208
254,33.85532471823798,33.85532471823798,33.38330485461497,33.51,7620,10:12:17,False,1.2404756233118095,15759396864
255,34.26022634511722,34.26022634511722,33.38843912898848,33.51,7650,10:14:43,False,1.262128262326656,15811461120
256,34.03098152330415,34.03098152330415,33.399240504959806,33.51,7680,10:17:08,False,1.2548112490829078,15759777792
257,33.60897904608387,33.60897904608387,33.39941553655572,33.51,7710,10:19:35,False,1.2416900946746758,15782600704
258,33.817451422779385,33.817451422779385,33.402476126866134,33.51,7740,10:22:00,False,1.2703489923719467,15750172672
259,33.206437850543146,33.206437850543146,33.399242983204,33.51,7770,10:24:29,False,1.250160746664145,15893524480
260,32.16743064061019,32.16743064061019,33.3889096050452,33.51,7800,10:27:00,False,1.18691966106999,15829282816
